1,1,0.01639344262295082,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Monday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
1,2,0.01639344262295082,TheFawkes@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Waterpipe])
2,1,0.03278688524590164,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Monday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
2,2,0.03278688524590164,TheFawkes@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Waterpipe])
3,1,0.04918032786885246,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Monday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
3,2,0.04918032786885246,TheFawkes@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Tulips])
4,1,0.06557377049180328,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Monday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
4,2,0.06557377049180328,TheFawkes@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Tulips])
5,1,0.08196721311475409,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Monday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
5,2,0.08196721311475409,TheFawkes@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Tulips])
6,1,0.09836065573770492,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Monday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
6,2,0.09836065573770492,TheFawkes@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Tulips])
7,1,0.11475409836065574,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Monday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
7,2,0.11475409836065574,TheFawkes@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Tulips])
8,1,0.13114754098360656,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Monday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
8,2,0.13114754098360656,TheFawkes@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Tulips])
9,1,0.14754098360655737,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Monday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
9,2,0.14754098360655737,TheFawkes@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Tulips])
10,1,0.16393442622950818,boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Monday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
10,2,0.16393442622950818,TheFawkes@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Car, Souvenirs: Tulips])
